date,Sleep Score
2023-09-17,78
2023-09-18,81
2023-09-19,69
2023-09-20,77
2023-09-21,76
2023-09-22,75
2023-09-23,86
2023-09-24,68
2023-09-25,84
2023-09-26,88
2023-09-27,76
2023-09-28,68
2023-09-30,49
2023-10-01,62
2023-10-02,49
2023-10-03,73
2023-10-04,72
2023-10-09,78
2023-10-10,65
2023-10-12,56
2023-10-13,62
2023-10-14,78
2023-10-17,57
2023-10-18,59
2023-10-19,70
2023-10-22,86
2023-10-23,65
2023-10-24,57
2023-10-26,74
2023-10-27,57
2023-10-28,70
2023-10-31,86
2023-11-04,76
2023-11-11,67
2023-11-13,68
2023-11-14,80
2023-11-15,50
2023-11-20,42
2023-11-21,82
2023-11-22,60
2023-11-23,41
2023-11-24,88
2023-11-25,78
2023-11-26,75
2023-11-28,76
2023-11-29,40
2023-12-03,88
2023-12-04,65
2023-12-05,67
2023-12-14,65
2023-12-15,69
2023-12-19,58
2023-12-20,68
2023-12-23,52
2023-12-24,76
2024-01-02,57
2024-01-03,70
2024-01-04,69
2024-01-05,66
2024-01-09,78
2024-01-10,75
2024-01-11,66
2024-01-12,63
2024-01-13,58
2024-01-23,56
2024-01-24,72
2024-01-26,67
2024-01-28,62
2024-01-29,67
2024-01-30,40
2024-01-31,67
2024-02-01,40
2024-02-03,80
2024-02-04,69
2024-02-05,90
2024-02-06,68
2024-02-13,63
2024-02-14,82
2024-02-15,69
2024-02-17,83
2024-02-18,58
2024-02-19,71
2024-02-21,55
2024-02-22,84
2024-02-23,66
2024-02-24,59
2024-02-27,70
2024-02-28,60
2024-02-29,73
2024-03-01,71
2024-03-02,70
2024-03-03,83
2024-03-04,72
2024-03-08,75
2024-03-09,66
2024-03-10,77
2024-03-11,85
2024-03-12,84
2024-03-13,87
2024-03-15,71
2024-03-16,45
2024-03-19,82
2024-03-20,90
2024-03-21,48
2024-03-22,73
2024-03-23,72
2024-03-24,56
2024-03-25,71
2024-03-30,78
2024-03-31,83
2024-04-01,76
2024-04-02,66
2024-04-03,69
2024-04-05,70
2024-04-06,73
2024-04-07,69
2024-04-09,70
2024-04-10,61
2024-04-16,72
2024-04-17,70
2024-04-18,61
2024-04-23,75
2024-04-24,41
2024-04-25,46
2024-04-29,78
2024-04-30,71
2024-05-01,78
2024-05-02,77
2024-05-03,72
2024-05-04,60
2024-05-07,69
2024-05-08,59
2024-05-09,74
2024-05-15,86
2024-06-02,88
2024-06-03,64
2024-06-04,73
2024-06-05,80
2024-06-06,81
2024-06-07,71
2024-06-09,75
2024-06-10,63
2024-06-15,80
2024-06-16,85
2024-06-17,40
2024-06-18,22
2024-06-24,72
2024-06-25,65
2024-07-05,59
2024-07-11,68
2024-07-12,74
2024-07-18,57
2024-07-19,86
2024-07-20,62
2024-07-27,67
2024-07-28,81
2024-07-29,86
2024-07-30,89
2024-07-31,52
2024-08-02,86
2024-08-03,69
2024-08-04,78
2024-08-05,67
2024-08-06,65
2024-08-07,80
2024-08-08,62
2024-08-09,79
2024-08-12,74
2024-08-16,75
2024-08-17,78
2024-08-18,64
2024-08-19,55
2024-08-21,66
2024-08-22,65
2024-08-23,58
2024-08-24,77
2024-08-28,86
2024-08-29,67
2024-08-30,80
2024-08-31,78
2024-09-01,60
2024-09-03,79
2024-09-04,81
2024-09-05,74
2024-09-06,86
2024-09-09,75
2024-09-13,75
2024-09-14,76
2024-09-15,58
2024-09-19,86
2024-09-22,71
2024-09-23,44
2024-09-26,77
2024-09-27,79
2024-10-01,50
2024-10-02,39
2024-10-03,71
2024-10-05,75
2024-10-09,82
2024-10-10,69
2024-10-11,76
2024-10-12,41
2024-10-13,52
2024-10-19,70
2024-10-20,65
2024-10-21,79
2024-10-22,61
2024-10-23,65
2024-10-24,66
2024-10-25,58
2024-10-27,69
2024-10-28,75
2024-10-30,71
2024-10-31,78
2024-11-01,74
2024-11-02,66
2024-11-03,52
2024-11-04,82
2024-11-07,65
2024-11-08,40
2024-11-10,78
2024-11-11,76
2024-11-12,69
2024-11-13,53
2024-11-14,68
2024-11-15,89
2024-11-18,63
2024-11-19,75
2024-11-22,68
2024-11-23,70
2024-11-25,63
2024-12-04,83
2024-12-05,68
2024-12-07,68
2024-12-11,66
2024-12-12,70
2024-12-14,65
2024-12-17,81
2024-12-18,68
2024-12-20,57
2024-12-27,82
2024-12-28,67
2024-12-31,80
2025-01-07,59
2025-01-11,74
2025-01-12,68
2025-01-13,65
2025-01-15,73
2025-01-17,64
2025-01-22,79
2025-01-24,81
2025-01-26,65
2025-01-29,69
2025-02-02,84
2025-02-05,58
2025-02-06,53
2025-02-10,62
2025-02-11,56
2025-02-12,86
2025-02-13,68
2025-02-14,74
2025-02-15,39
2025-02-17,79
2025-02-19,71
2025-02-24,77
2025-02-26,67
2025-02-27,59
2025-02-28,87
2025-03-01,77
2025-03-02,65
2025-03-04,73
2025-03-05,76
2025-03-06,55
2025-03-08,31
2025-03-10,90
2025-03-11,71
2025-03-12,83
2025-03-13,76
2025-03-14,61
2025-03-19,55
2025-03-20,75
2025-03-23,76
2025-03-24,86
2025-03-25,76
2025-03-26,65
2025-03-27,67
2025-03-28,74
2025-03-29,64
2025-03-30,53
2025-03-31,44
2025-04-01,58
2025-04-03,66
2025-04-04,56
2025-04-05,81
2025-04-07,71
2025-04-08,65
2025-04-15,73
2025-04-16,88
2025-04-19,69
2025-04-22,59
2025-04-26,70
2025-04-30,38
2025-05-03,61
2025-05-04,67
2025-05-06,80
2025-05-07,66
2025-05-08,86
2025-05-09,71
2025-05-10,61
2025-05-11,70
2025-05-12,74
2025-05-13,63
2025-05-17,75
